headlines,text
dye cube red,could you dye the cube as red
dye cube blue,could you dye the cube as blue
dye cube black,dye cube black
dye cube black,make the cube to black
dye sphere cyan,can you change sphere's color to cyan
dye sphere blue,can you make the sphere's color as blue
dye apple green,can you change this apple to green
dye pear yellow,change the color of pear to yellow
dye iphone transparant,Make iphone completely transparent
dye pc white,change pc to white
dye pc white,change the color of pc to white
scale cube 2 ,make cube two times bigger
scale cube 1/2 ,make the cube two times smaller
scale apple 1/2,make the apple two times smaller
scale apple random,scale apple randomly
scale apple random,scale apple              
scale sphere 100,make sphere 100 times bigger
scale sphere 100 ,scale sphere one hundred times bigger
scale pear 10,change pear 10 times bigger
scale pear 1/10,make pear 10 times smaller
scale iphone 1/5,change the iphone 5 times smaller
scale iphone 1/5,scale this iphone to 1/5
move apple 2 feet left pear,put the apple to the left of pear 2 feet away
move pear 3 feet right iphone,move the pear to 3 feet away from iphone
move cube 4 meter above sphere,put the cube 4 meters above the sphere
move cube 4 meter above sphere,move the cube above the sphere 4 meters
move cube 5 meter above sphere,place the cube above the sphere 5 meters away
move iphone 2 feet below desk,place a iphone under desk 2 feets away
move iphone 2 feet below desk,place a iphone below desk 2 feets
move iphone 2 feet below desk,place a iphone 2 feets  below desk 
move iphone 3 feet below car,move iphone 3 feets below car
move iphone 6 feet below car,move iphone 6 feets below car
move keyboard 0 feet on desk,put keyboard on the desk
move keyboard 0 feet on desk,put keyboard on the center of the desk
dye cube red,change the color of the cube as red
dye cube blue,could you change the cube to blue
dye cube black,dye cube black
dye cube black,make the cube to black
dye sphere cyan,changing sphere's color to cyan
dye sphere blue,making the sphere's color as blue
dye cube blue,changing the cube to blue
dye cube blue,can you change the color of the cube to blue
dye cube white,make the cube white
move pear 3 feet right iphone,moving the pear to 3 feet away from iphone
move cube 4 meter above sphere,can you put the cube 4 meters above the sphere
move cube 4 meter above sphere,could you move the cube above the sphere 4 meters
move cube 5 meter above sphere,can you place the cube above the sphere 5 meters away
move iphone 2 feet below desk,placing a iphone under desk 2 feets away
move iphone 20 feet below desk,place a iphone below desk 20 feets
move iphone 22 feet below desk,place a iphone 22 feets  below desk 
move iphone 3 feet below car,moving iphone 3 feets below car
scale cube 2 ,could you make cube two times bigger
scale cube 1/2 ,can you make the cube two times smaller
scale apple 1/2,set the apple two times smaller
scale apple random,scale apple randomly
scale apple random,scale apple              
scale sphere 100,make sphere 100 times bigger
scale sphere 100 ,scale sphere one hundred times bigger
scale pear 10,change pear 10 times bigger
scale pear 1/10,make pear 10 times smaller
scale iphone 2,set iphone 2 times bigger
scale iphone 2,setting iphone 2 times bigger
scale keyboard 5,scaling keyboard 5 times bigger
move iphone 40 feet below desk,place a iphone below desk 40 feets
move iphone 34 feet below desk,place a iphone 34 feets  below desk 
move iphone 29 feet below car,moving iphone 29 feets below car
scale cube 200,could you make cube two hundred times bigger
scale cube 1/3,can you make the cube 3 times smaller
scale apple 1/20,set the apple 20 times smaller
scale apple random,randomly scale apple 
scale apple random,scale the apple         
scale sphere 1000,make sphere 1000 times bigger
scale sphere 1000,scale sphere one thousand times bigger
scale pear 79,change pear 79 times bigger
dye sphere blue,can you dye the sphere's color to blue
dye apple yellow,can you change this apple to yellow
dye pear yellow,changing the color of pear to yellow
dye iphone transparant,make iphone transparant to 0
dye desktop white,change desktop to white
dye mouse violet,change the color of mouse to violet
scale mouse 2 ,make mouse two times bigger
scale keyboard 10,change keyboard 10 times bigger
scale pear 1/100,make pear 100 times smaller
scale mouse 1/5,change the mouse 5 times smaller
scale iphone 1/7,scale this iphone to 1/7
move apple 2 feet left pear,put the apple to the left of pear 2 feet away
move pear 3 feet right iphone,move the pear to 3 feet away from iphone
move cube 4 feet above sphere,put the cube 4 feets above the sphere
move cube 4 feet above sphere,move the cube above the sphere 4 feets
scale iphone 1/9,scale this iphone to 1/9
move iphone 22 feet next keyboard,place a iphone 22 feets next to keyboard
move iphone 3 feet below car,moving iphone 3 feets below car
scale cube 2 ,could you make cube two times bigger
scale cube 1/2 ,can you make the cube two times smaller
scale apple 1/2,set the apple two times smaller
scale house random,scale house randomly
move mouse 22 feet next keyboard,place a mouse 22 feets next to keyboard
move iphone 2 feet next keyboard,place a iphone 2 feets next to keyboard
scale cat 1/5,change the cat 5 times smaller
